scenario number,scenario id (system+first category+index),target system,alterations to system configuartion,additional context,category,injected fault,scenario description,canonical initial observations,ideal diagnosis example
1,3CC.S.1,3 cubes chain,,,Simple,Depleted battery,Battery is depleted to 0V,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery
2,3CC.S.2,3 cubes chain,,,Simple,Reversed battery polarity,Battery installed incorrectly with inverted polarity,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery
3,3CC.S.3,3 cubes chain,,,Simple,Crossed supply-control cables,Cables between control module and power supply module are crossed causing reverse voltage,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is on,Initial observations  > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position
4,3CC.S.4,3 cubes chain,,,Simple,Disconnected switch,One of the cables connected to the switch has been detached,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to switch
5,3CC.S.5,3 cubes chain,,,Simple,Burned lamp ,Burned main lamp filaments (lamp failed open),The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
6,3CC.D.1,3 cubes chain,,,Double,Depleted battery; Crossed supply-control cables,Combination of the two failures,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position
7,3CC.D.2,3 cubes chain,,,Double,Depleted battery;  Disconnected switch,Combination of the two failures,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to switch
8,3CC.D.3,3 cubes chain,,,Double,Depleted battery;  Burned lamp,Combination of the two failures,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > replace lamp
9,3CC.D.4,3 cubes chain,,,Double,Reversed battery polarity;  Disconnected switch,Combination of the two failures,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to switch
10,3CC.D.5,3 cubes chain,,,Double,Crossed supply-control cables; Disconnected switch,Combination of the two failures,The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is on,Initial observations  > belief: cables are crossed > test voltage polarity at control input > detach and reconnect cables in correct position > belief: there is another failure > observe LED indicators > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > knowledge: diconnected cable > reconnect cable to switch
11,3CC.M.1,3 cubes chain,,,"Misleading, Double",Reversed battery polarity; Open control LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the battery is not reversed",The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > belief: battery was incorrectly installed >  replace battery
12,3CC.M.2,3 cubes chain,,,"Misleading, Multiple",Reversed battery polarity;  Polarizing load LED open; Burned lamp,"Combination of the three failures, misleading because the LED indicator being on is not indicative of what is preventing the lamp from turning on, since the lamp is unpolarized in this configuration",The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is on,Initial observations > belief: battery is reversed > test battery > adjust battery > belief: there is another failure > observe LED indicators   > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
13,3CC.M.3,3 cubes chain,,,"Misleading, Double",Crossed supply-control cables; Open control LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the cables are not crossed",The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test switch > belief: no belief > test control module input > belief: control input cables are crossed > adjust cables
14,3CC.M.4,3 cubes chain,,,"Misleading, Double",Burned lamp; Open supply LED indicator,"Combination of the two failures, misleading because the LED indicator being off suggests the issue is in the battery",The lamp does not turn on when the switch is operated; The green led on top of the power supply module is off; The red led on top of the control module is off,Initial observations > belief: battery is KO > test battery > belief: open between battery and supply LED indicator or burned supply LED inidcator > test continuity between battery and supply LED indicator > replca LED indicator > observe LED indicators  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
15,3CC.M.5,3 cubes chain,,,"Misleading, Double",Burned lamp; Burned load lamp indicator,"Combination of the two failures, misleading because the load lamp indicator being off suggests the issues is not with the battery",The lamp does not turn on when the switch is operated; The green led on top of the power supply module is on; The red led on top of the control module is off,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test switch > belief: no belief > test control module input > test control module output > belief: an open in the load module > test voltage at lamp ports > belief: lamp is KO > test lamp > replace lamp
16,3CC.L.1,3 cubes chain,all indicators removed,,Limited Observability,Depleted battery,Battery is depleted,The lamp does not turn on when the switch is operated; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: problem upstream of control module > test supply module output > belief: battery depleted > test battery > replace battery
17,3CC.L.2,3 cubes chain,all indicators removed,,Limited Observability,Reversed battery polarity,Battery installed incorrectly with inverted polarity,The lamp does not turn on when the switch is operated; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: problem upstream of control module > test supply module output > belief: battery depleted > test battery > belief: battery installed incorrectly > adjust battery
18,3CC.L.3,3 cubes chain,all indicators removed,,Limited Observability,Crossed supply-control cables,Cables between control module and power supply module are crossed causing reverse voltage,The lamp does not turn on when the switch is operated; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: battery or supply-control cables polarity reversed > test supply output > belief: supply-control cables reversed > adjust supply-control cables
19,3CC.L.4,3 cubes chain,all indicators removed,,Limited Observability,Disconnected switch,One of the cables connected to the switch has been detached,The lamp does not turn on when the switch is operated; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: faut downstream of control input > test control output > fault inside control module > inspect connections inside control module > knowledge: a cable is detached > reattach cable
20,3CC.L.5,3 cubes chain,all indicators removed,,Limited Observability,Burned lamp ,Burned lamp filaments (lamp failed open),The lamp does not turn on when the switch is operated; Both the supply and contol module LED indicators are missing,Initial observations > test control input > belief: faut downstream of control input > test control output > test load input > fault inside load module > inspect connections inside control module > test lamp > knowledge: lamp failed open > replace lamp
21,3CC.I.1,3 cubes chain,,,Intermittent,Loose battery-cable connection,"One connection with the battery is loose, randomly resulting in an open circuit","The lamp occasionally turns off even when the switch is in the closed position and when this happens all LED indicators are off (otherwise the green supply module LED and the lamp are both on, while the red control module indicator is OFF)",Initial observations  > belief: connection loose between the battery and the supply module LED > inspect cables between the battery and the supply module LED > adjust cables between the battery and the supply module LED
22,3CC.I.2,3 cubes chain,,,Intermittent,Loose supply-control connection,"One connection between the supply and control modules  is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the switch is in the closed position; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
23,3CC.I.3,3 cubes chain,,,Intermittent,Loose switch-cable connection,"One switch port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the switch is in the closed position; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
24,3CC.I.4,3 cubes chain,,,Intermittent,Loose control-load connection,"One connection between the control and load modules  is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the switch is in the closed position; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
25,3CC.I.5,3 cubes chain,,,Intermittent,Loose lamp-cable connection,"One lamp-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when the switch is in the closed position; The green supply module LED indicator is always on; The red control module indicator is always off,"Initial observations > belief: some connection loose downstream of the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
26,10CC.S.1,10 cubes chain,,,Simple,Depleted battery,Battery is depleted to 0V,The led on the power supply module is off; All the leds on the control modules are off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: battery is KO > test battery > replace battery
27,10CC.S.2,10 cubes chain,,,Simple,Disconnected switch 3,One of the cables connected to switch 3 has been detached,"The led on the power supply module is on; All the leds on the control modules before and including number 3 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 2 > inspect connections in control module 3 > adjust cable
28,10CC.S.3,10 cubes chain,,,Simple,Disconnected switch 6,One of the cables connected to switch 6 has been detached,"The led on the power supply module is on; All the leds on the control modules before and including number 6 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 5 > inspect connections in control module 6 > adjust cable
29,10CC.S.4,10 cubes chain,,,Simple,Disconnected switch 8,One of the cables connected to switch 8 has been detached,"The led on the power supply module is on; All the leds on the control modules before and including number 8 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable
30,10CC.S.5,10 cubes chain,,,Simple,Burned lamp,Burned main lamp filaments (lamp failed open),The led on the power supply module is on; All the leds on the control modules are on; The lamp does not turn on when battery is inserted and all switches are on,Initial observations  > belief: load KO > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
31,10CC.D.1,10 cubes chain,,,Double,Battery depleted; Disconnected switch 3,Combination of the two failures,The led on the power supply module is off; All the leds on the control modules are off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: open somewhere just after control module 2 > inspect connections in control module 3 > adjust cable
32,10CC.D.2,10 cubes chain,,,Double,Battery depleted; Disconnected switch 8,Combination of the two failures,The led on the power supply module is off; All the leds on the control modules are off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable
33,10CC.D.3,10 cubes chain,,,Double,Disconnected switch 3; Disconnected switch 8,Combination of the two failures,"The led on the power supply module is on; All the leds on the control modules before and including number 3 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 2 > inspect connections in control module 3 > adjust cable > belief: there is another failure > observe LED indicators  >  belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable
34,10CC.D.4,10 cubes chain,,,Double,Burned lamp; Disconnected switch 3,Combination of the two failures,"The led on the power supply module is on; All the leds on the control modules before and including number 3 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 2 > inspect connections in control module 3 > adjust cable > belief: there is another failure > observe LED indicators  > belief: load KO > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
35,10CC.D.5,10 cubes chain,,,Double,Burned lamp; Disconnected switch 8,Combination of the two failures,"The led on the power supply module is on; All the leds on the control modules before and including number 8 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable > belief: there is another failure > observe LED indicators  > belief: load KO > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
36,10CC.M.1,10 cubes chain,,,"Misleading, Double",Reversed polarity battery; Reversed supply LED indicator,"Combination of the two failures, misleading because the supply LED indicator being on suggests the issue is in the first control module",The led on the power supply module is on; All the leds on the control modules are off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: open somewhere just after supply > inspect connections in control module 1 > test switch 1 > test voltage at control 1 input > belief: problem is voltage inversion upstream of control module 1 > test supply output > test battery > adjust battery
37,10CC.M.2,10 cubes chain,,,"Misleading, Double",Disconnected switch 3; Control 2 LED indicator open,"Combination of the two failures, misleading because the control LED indicator being on suggests the issue is control module preceding the faulted module","The led on the power supply module is on; All the leds on the control modules before and including number 2 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on","Initial observations > belief: open somewhere just after control module 1 > inspect connections in control module 2 > test switch 2 > belief: control module 2 main function OK, only indicator OK > test control module 2 output > belief: issue just after control module 2 > inspect control module 3 > adjust cable"
38,10CC.M.3,10 cubes chain,,,"Misleading, Double",Disconnected switch 6; Control 5 LED indicator open,"Combination of the two failures, misleading because the control LED indicator being on suggests the issue is control module preceding the faulted module","The led on the power supply module is on; All the leds on the control modules before and including number 5 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on","Initial observations > belief: open somewhere just after control module 4 > inspect connections in control module 5 > test switch 5 > belief: control module 5 main function OK, only indicator OK > test control module 5 output > belief: issue just after control module 5 > inspect control module 6 > adjust cable"
39,10CC.M.4,10 cubes chain,,,"Misleading, Double",Disconnected switch 8; Control 7 LED indicator open,"Combination of the two failures, misleading because the control LED indicator being on suggests the issue is control module preceding the faulted module","The led on the power supply module is on; All the leds on the control modules before and including number 7 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on","Initial observations > belief: open somewhere just after control module 6 > inspect connections in control module 7 > test switch 7 > belief: control module 7 main function OK, only indicator OK > test control module 7 output > belief: issue just after control module 7 > inspect control module 8 > adjust cable"
40,10CC.M.5,10 cubes chain,,,"Misleading, Double",Burned lamp; Burned load lamp indicator,"Combination of the two failures, misleading because the load lamp indicator being off suggests the issues is not with the battery",The led on the power supply module is on; All the leds on the control modules are on; The lamp does not turn on when battery is inserted and all switches are on,Initial observations  > belief: load KO or an open in load or after control 8 module > observe small lamp indicator to split the possible fault location in load or control module > belief: open between control module 8 and load> test control module 8 output > inspect connections between control 8 and load > test load input > belief: an open in the load module > test voltage at lamp ports > belief: lamp is KO > test lamp > replace lamp
41,10CC.L.1,10 cubes chain,all control module LED indicators removed,,Limited Observability,Depleted battery,Battery is depleted to 0V,All the control LED indicators are missing; The supply LED is off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: battery is KO > test battery > replace battery
42,10CC.L.2,10 cubes chain,all control module LED indicators removed,,Limited Observability,Disconnected switch 3,One of the cables connected to switch 3 has been detached,All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue upstream > insert LED in control 3 > belief: issue upstream > insert LED in control 2 > belief: issue in or next control 3 > inspect control 3 > adjust cable "
43,10CC.L.3,10 cubes chain,all control module LED indicators removed,,Limited Observability,Disconnected switch 6,One of the cables connected to switch 6 has been detached,All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue downstram > insert LED in control 8 > belief: issue upstream > insert LED in control 7 > belief: issue in or next control 6 > inspect control 6 > adjust cable "
44,10CC.L.4,10 cubes chain,all control module LED indicators removed,,Limited Observability,Disconnected switch 8,One of the cables connected to switch 8 has been detached,All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue downstram > insert LED in control 8 > belief: issue around control 8 > inspect control 8 > adjust cable "
45,10CC.L.5,10 cubes chain,all control module LED indicators removed,,Limited Observability,Burned lamp,Burned main lamp filaments (lamp failed open),All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue downstram > insert LED in control 8 > belief: issue downstream > inspect control 8 to load connections > inspect load module connections > test lamp > belief: lamp burned > replace lamp"
46,10CC.I.1,10 cubes chain,,,Intermittent,Loose battery-cable connection,"One connection with the battery is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators are off (otherwise all the leds and the lamp are on),"Initial observations > belief: some connection loose within the the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
47,10CC.I.2,10 cubes chain,,,Intermittent,Loose switch-3-cable connection,"One switch 3 port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators after and included the one of control module 3 are off (the remaining are on),"Initial observations > belief: some connection loose downstream of the control module 2 > [proceeds with a search of the loose connection in control module 3, without being misled by non-anomalous observations taken when the connection holds]"
48,10CC.I.3,10 cubes chain,,,Intermittent,Loose switch-6-cable connection,"One switch 6 port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators after and included the one of control module 6 are off (the remaining are on),"Initial observations > belief: some connection loose downstream of the control module 5 > [proceeds with a search of the loose connection in control module 6, without being misled by non-anomalous observations taken when the connection holds]"
49,10CC.I.4,10 cubes chain,,,Intermittent,Loose switch-8-cable connection,"One switch 8 port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators after and included the one of control module 8 are off (the remaining are on),"Initial observations > belief: some connection loose downstream of the control module 7 > [proceeds with a search of the loose connection in control module 8, without being misled by non-anomalous observations taken when the connection holds]"
